Datum,Fälle_gesamt,Fälle_Zuwachs,Tote_v1,Tote_v1_Zuwachs,Tote_v2,Tote_v2_Zuwachs,Genesene,Genesene_Zuwachs,Hospitalisiert,Intensivstation,IBett_frei,IBett_Kapazität,Testungen,Testungen_Zuwachs,Burgenland,Burgenland_Tote,Burgenland_Genesene,Burgenland_Spital,Burgenland_Intensiv,Burgenland_Tests,Kärnten,Kärnten_Tote,Kärnten_Genesene,Kärnten_Spital,Kärnten_Intensiv,Kärnten_Tests,Niederösterreich,Niederösterreich_Tote,Niederösterreich_Genesene,Niederösterreich_Spital,Niederösterreich_Intensiv,Niederösterreich_Tests,Oberösterreich,Oberösterreich_Tote,Oberösterreich_Genesene,Oberösterreich_Spital,Oberösterreich_Intensiv,Oberösterreich_Tests,Salzburg,Salzburg_Tote,Salzburg_Genesene,Salzburg_Spital,Salzburg_Intensiv,Salzburg_Tests,Steiermark,Steiermark_Tote,Steiermark_Genesene,Steiermark_Spital,Steiermark_Intensiv,Steiermark_Tests,Tirol,Tirol_Tote,Tirol_Genesene,Tirol_Spital,Tirol_Intensiv,Tirol_Tests,Vorarlberg,Vorarlberg_Tote,Vorarlberg_Genesene,Vorarlberg_Spital,Vorarlberg_Intensiv,Vorarlberg_Tests,Wien,Wien_Tote,Wien_Genesene,Wien_Spital,Wien_Intensiv,Wien_Tests
2020-05-07,15652,63,609,1,576,-2,13698,59,360,92,1010,1102,297894,5640,330,11,269,4,1,8078,411,13,385,5,3,11647,2663,95,2370,76,28,37010,2263,57,2139,32,7,44417,1213,36,1140,58,7,25320,1785,134,1350,38,7,33702,3513,106,3275,30,17,56188,875,19,833,6,3,13794,2599,138,1937,111,19,67738
2020-05-06,15589,20,608,2,578,5,13639,177,418,97,1004,1101,292254,6371,329,11,264,5,1,7847,411,13,385,5,3,11483,2653,95,2369,84,29,35997,2259,57,2131,36,6,43698,1214,36,1132,59,7,24790,1778,134,1333,40,8,33003,3510,106,3271,37,19,55574,875,19,826,7,4,13324,2560,137,1928,145,20,66538
2020-05-05,15569,34,606,6,573,4,13462,146,418,104,1042,1146,285883,6812,329,11,261,6,1,7795,410,13,383,5,2,11029,2642,95,2310,86,33,34690,2259,57,2115,40,7,42706,1217,36,1119,53,7,25216,1774,134,1300,41,9,32158,3510,105,3244,43,21,54720,874,18,828,8,4,13156,2554,137,1902,136,20,64413
2020-05-04,15535,20,600,2,569,2,13316,88,420,111,1056,1167,279071,4716,327,11,261,3,1,7637,410,13,382,6,3,10837,2633,93,2270,86,35,33646,2258,56,2110,40,8,41843,1219,36,1116,60,7,24613,1767,133,1252,43,9,31579,3508,105,3217,49,25,53512,873,17,824,7,4,13040,2540,136,1884,126,19,62364
2020-05-03,15515,36,598,2,567,2,13228,48,422,114,1055,1169,274355,4736,327,10,258,4,1,7529,410,13,382,6,3,10519,2630,92,2255,85,34,32815,2256,57,2106,48,9,41188,1219,36,1115,51,7,24102,1766,133,1246,47,9,31215,3504,105,3215,50,25,53261,873,17,824,7,4,12783,2530,135,1827,124,22,60943
2020-05-02,15479,21,596,7,565,5,13180,70,428,114,1046,1160,269619,5540,326,10,256,8,2,7426,410,12,381,7,4,10302,2626,92,2238,90,35,32438,2256,56,2102,42,8,40747,1217,36,1115,52,7,23075,1764,133,1235,52,9,30866,3504,105,3207,48,24,52934,872,17,819,7,4,12374,2504,135,1827,122,21,59457
2020-05-01,15458,88,589,5,560,5,13110,203,472,124,1012,1136,264079,7680,325,10,255,8,2,6959,410,12,381,8,5,10152,2623,92,2221,99,37,31930,2255,56,2088,44,10,40001,1217,36,1120,69,7,22422,1761,130,1220,61,10,29979,3504,105,3197,52,27,52504,871,17,811,7,4,11719,2492,131,1817,124,22,58413
2020-04-30,15370,47,584,4,555,7,12907,128,502,128,1012,1140,256399,8645,323,10,250,9,2,6619,410,12,379,8,5,9904,2597,92,2164,104,36,31034,2253,55,2074,45,12,39188,1215,35,1090,73,9,21585,1758,129,1187,67,10,28844,3502,105,3160,60,28,51310,870,16,795,7,5,11165,2442,130,1808,129,21,56750
2020-04-29,15323,67,580,11,548,8,12779,199,517,131,1018,1149,247754,8176,321,10,246,8,2,5971,410,12,378,10,5,9648,2583,92,2141,104,36,29741,2251,55,2051,51,12,38144,1215,35,1081,73,10,20210,1755,126,1155,69,12,27813,3496,105,3151,62,28,50269,869,15,786,9,5,10811,2423,130,1790,131,21,55147
2020-04-28,15256,66,569,20,540,8,12580,218,561,136,1055,1191,239578,7041,321,10,242,11,3,5302,407,12,372,11,6,9471,2574,92,2101,110,35,28534,2250,53,2040,60,14,37146,1214,34,1078,75,10,19348,1747,123,1117,74,10,26908,3486,103,3070,72,32,49393,868,15,779,11,5,10362,2389,127,1781,137,21,53114
2020-04-27,15190,56,549,7,532,12,12362,80,579,140,1073,1213,232537,4906,317,9,236,13,2,4232,406,12,368,12,6,9119,2562,92,2042,113,37,27250,2246,53,2022,66,11,36230,1214,33,1071,74,11,18883,1736,121,1068,75,12,26126,3482,101,3024,74,33,48674,868,15,759,11,5,10219,2359,113,1772,141,23,51804
2020-04-26,15134,65,542,6,520,7,12282,179,594,145,1072,1217,227631,6542,316,9,234,11,2,4167,404,12,364,12,6,9036,2554,90,2026,120,39,25849,2240,52,2022,67,14,35501,1210,33,1057,79,11,18171,1722,121,1059,76,12,25666,3473,101,2997,75,32,48412,868,14,757,12,6,9856,2347,110,1766,142,23,50973
2020-04-25,15069,82,536,6,513,3,12103,231,608,148,1052,1200,221089,8403,315,8,235,12,2,4155,402,12,360,13,7,8947,2547,90,1950,114,37,24800,2238,51,2021,71,15,34849,1208,33,1041,83,12,17293,1705,120,1011,77,12,24949,3463,101,2982,77,34,48093,868,14,755,12,6,9396,2323,107,1748,149,23,48607
2020-04-24,14987,55,530,8,510,14,11872,178,651,156,1057,1213,212686,6851,314,8,230,14,2,3568,402,12,356,14,7,8755,2533,89,1890,127,40,22572,2230,48,2007,78,15,34014,1206,33,1008,90,12,16674,1697,119,973,88,13,23673,3446,101,2943,81,36,47235,869,14,749,14,6,8989,2290,106,1716,145,25,47206
2020-04-23,14932,92,522,12,496,33,11694,366,677,169,985,1154,205835,4041,313,9,226,17,4,3006,402,12,346,14,7,8528,2529,88,1841,131,43,21969,2219,48,1972,78,18,33100,1204,33,1008,92,14,15969,1686,115,952,99,16,22738,3441,98,2905,91,38,46349,868,14,745,16,6,8656,2270,105,1699,139,23,45520
2020-04-22,14840,50,510,19,463,26,11328,357,700,176,1075,1251,201794,12776,310,9,227,12,2,2660,402,12,331,14,7,8269,2500,87,1685,141,43,20980,2215,47,1944,79,20,31933,1206,33,951,105,13,15447,1670,110,904,95,14,21678,3437,95,2869,96,40,44902,863,13,740,18,7,8384,2237,104,1677,140,30,47541
2020-04-21,14790,77,491,21,437,29,10971,340,756,196,985,1181,189018,6069,309,8,210,17,4,2534,397,12,316,17,9,7914,2501,85,1623,151,42,20218,2211,44,1912,90,30,31046,1201,30,949,94,15,14944,1664,109,874,103,17,20792,3431,91,2698,111,44,43731,861,13,733,17,6,7959,2215,99,1656,156,29,39880
2020-04-20,14713,51,470,18,408,12,10631,130,805,194,957,1151,182949,3706,302,8,200,16,4,2386,394,10,307,15,9,7624,2479,83,1572,193,37,19588,2203,41,1884,90,27,30373,1200,30,930,92,17,14691,1653,106,816,108,17,20098,3425,86,2556,114,44,42813,858,10,731,18,7,7626,2199,96,1635,159,32,37750
2020-04-19,14662,67,452,9,396,16,10501,287,817,204,1037,1241,179243,3311,299,8,198,16,5,2357,394,10,302,15,9,7268,2470,82,1560,196,40,19112,2199,38,1847,95,29,29696,1195,29,929,88,16,14386,1646,101,809,117,18,19749,3418,85,2526,112,49,42019,857,9,715,19,7,7400,2184,90,1615,159,31,37256
2020-04-18,14595,111,443,12,380,9,10214,510,855,208,951,1159,175932,6660,295,7,181,17,5,2301,395,9,295,16,9,7156,2461,80,1560,207,41,18831,2194,37,1822,97,25,29190,1191,29,875,91,17,14085,1638,99,775,118,20,19036,3407,85,2486,125,51,40884,855,9,668,23,8,7193,2159,88,1552,161,32,37256
2020-04-17,14484,114,431,21,371,17,9704,718,909,227,968,1195,169272,6456,286,6,165,17,4,2020,384,8,269,23,10,6767,2446,73,1415,236,46,17410,2175,34,1714,109,31,27453,1189,27,790,88,15,13288,1624,93,661,141,21,16996,3394,80,2244,144,54,38388,853,7,654,29,11,6887,2133,82,1074,180,46,33607
2020-04-16,14370,124,410,17,354,16,8986,888,967,238,913,1151,162816,6015,280,6,165,17,4,2020,388,8,269,23,10,6767,2427,73,1415,236,46,17410,2171,34,1714,109,31,27453,1182,27,790,88,15,13288,1604,93,661,141,21,16996,3362,80,2244,144,54,38388,851,7,654,29,11,6887,2105,82,1074,180,46,33607
2020-04-15,14246,186,393,9,338,4,8098,465,1001,232,930,1162,156801,5005,274,6,148,20,4,1938,388,8,255,25,10,6549,2398,71,1315,235,42,16188,2150,32,1633,117,30,26579,1176,26,778,97,19,12837,1593,90,617,142,24,16225,3337,72,2134,164,55,37091,846,7,646,33,10,6734,2084,81,572,168,38,32660
2020-04-14,14060,118,384,16,334,3,7633,290,1002,243,982,1225,151796,3384,270,6,135,15,4,0,386,9,241,24,8,0,2354,67,1167,236,43,0,2134,32,1524,116,30,0,1174,26,762,101,20,0,1578,87,534,141,28,0,3302,72,2073,160,56,0,832,7,637,33,10,0,2030,78,560,176,44,0
2020-04-13,13942,132,368,18,331,17,7343,356,981,239,1019,1258,148412,3535,266,6,120,17,3,0,385,5,219,27,10,0,2324,62,1010,231,42,0,2122,30,1381,115,29,0,1169,24,704,89,21,0,1553,76,512,154,32,0,3281,66,1901,174,61,0,831,7,607,37,10,0,2011,74,533,191,35,0
